offset_dec offset_hex byte_hex bits       field
       111 0x0000006f 00       00000000 block.tx[0].vin[0].prev_txid_le
       112 0x00000070 00       00000000 block.tx[0].vin[0].prev_txid_le
       113 0x00000071 00       00000000 block.tx[0].vin[0].prev_txid_le
       114 0x00000072 00       00000000 block.tx[0].vin[0].prev_txid_le
       115 0x00000073 00       00000000 block.tx[0].vin[0].prev_txid_le
       116 0x00000074 00       00000000 block.tx[0].vin[0].prev_txid_le
       117 0x00000075 00       00000000 block.tx[0].vin[0].prev_txid_le
       118 0x00000076 00       00000000 block.tx[0].vin[0].prev_txid_le
       119 0x00000077 00       00000000 block.tx[0].vin[0].prev_txid_le
       120 0x00000078 ff       11111111 block.tx[0].vin[0].prev_vout
       121 0x00000079 ff       11111111 block.tx[0].vin[0].prev_vout
       122 0x0000007a ff       11111111 block.tx[0].vin[0].prev_vout
       123 0x0000007b ff       11111111 block.tx[0].vin[0].prev_vout
       124 0x0000007c 17       00010111 block.tx[0].vin[0].script_sig_length
       125 0x0000007d 03       00000011 block.tx[0].vin[0].script_sig
       126 0x0000007e ee       11101110 block.tx[0].vin[0].script_sig
       127 0x0000007f 35       00110101 block.tx[0].vin[0].script_sig
       128 0x00000080 02       00000010 block.tx[0].vin[0].script_sig
       129 0x00000081 00       00000000 block.tx[0].vin[0].script_sig
       130 0x00000082 04       00000100 block.tx[0].vin[0].script_sig
       131 0x00000083 84       10000100 block.tx[0].vin[0].script_sig
       132 0x00000084 cf       11001111 block.tx[0].vin[0].script_sig
       133 0x00000085 5d       01011101 block.tx[0].vin[0].script_sig
       134 0x00000086 6a       01101010 block.tx[0].vin[0].script_sig
       135 0x00000087 0c       00001100 block.tx[0].vin[0].script_sig
       136 0x00000088 d4       11010100 block.tx[0].vin[0].script_sig
       137 0x00000089 b9       10111001 block.tx[0].vin[0].script_sig
       138 0x0000008a 44       01000100 block.tx[0].vin[0].script_sig
       139 0x0000008b 6a       01101010 block.tx[0].vin[0].script_sig
       140 0x0000008c 00       00000000 block.tx[0].vin[0].script_sig
       141 0x0000008d 00       00000000 block.tx[0].vin[0].script_sig
       142 0x0000008e 00       00000000 block.tx[0].vin[0].script_sig
       143 0x0000008f 00       00000000 block.tx[0].vin[0].script_sig
       144 0x00000090 00       00000000 block.tx[0].vin[0].script_sig
       145 0x00000091 00       00000000 block.tx[0].vin[0].script_sig
       146 0x00000092 00       00000000 block.tx[0].vin[0].script_sig
       147 0x00000093 00       00000000 block.tx[0].vin[0].script_sig
       148 0x00000094 ff       11111111 block.tx[0].vin[0].sequence
       149 0x00000095 ff       11111111 block.tx[0].vin[0].sequence
       150 0x00000096 ff       11111111 block.tx[0].vin[0].sequence
       151 0x00000097 ff       11111111 block.tx[0].vin[0].sequence
       152 0x00000098 02       00000010 block.tx[0].output_count
       153 0x00000099 fb       11111011 block.tx[0].vout[0].value_satoshi
       154 0x0000009a 1e       00011110 block.tx[0].vout[0].value_satoshi
       155 0x0000009b 06       00000110 block.tx[0].vout[0].value_satoshi
       156 0x0000009c 2a       00101010 block.tx[0].vout[0].value_satoshi
       157 0x0000009d 01       00000001 block.tx[0].vout[0].value_satoshi
       158 0x0000009e 00       00000000 block.tx[0].vout[0].value_satoshi
       159 0x0000009f 00       00000000 block.tx[0].vout[0].value_satoshi
       160 0x000000a0 00       00000000 block.tx[0].vout[0].value_satoshi
       161 0x000000a1 16       00010110 block.tx[0].vout[0].script_pubkey_length
       162 0x000000a2 00       00000000 block.tx[0].vout[0].script_pubkey
       163 0x000000a3 14       00010100 block.tx[0].vout[0].script_pubkey
       164 0x000000a4 85       10000101 block.tx[0].vout[0].script_pubkey
       165 0x000000a5 e9       11101001 block.tx[0].vout[0].script_pubkey
       166 0x000000a6 d1       11010001 block.tx[0].vout[0].script_pubkey
       167 0x000000a7 6e       01101110 block.tx[0].vout[0].script_pubkey
       168 0x000000a8 fc       11111100 block.tx[0].vout[0].script_pubkey
       169 0x000000a9 d6       11010110 block.tx[0].vout[0].script_pubkey
       170 0x000000aa 18       00011000 block.tx[0].vout[0].script_pubkey
       171 0x000000ab 14       00010100 block.tx[0].vout[0].script_pubkey
       172 0x000000ac f8       11111000 block.tx[0].vout[0].script_pubkey
       173 0x000000ad 4f       01001111 block.tx[0].vout[0].script_pubkey
       174 0x000000ae d2       11010010 block.tx[0].vout[0].script_pubkey
       175 0x000000af c8       11001000 block.tx[0].vout[0].script_pubkey
       176 0x000000b0 e9       11101001 block.tx[0].vout[0].script_pubkey
       177 0x000000b1 96       10010110 block.tx[0].vout[0].script_pubkey
       178 0x000000b2 76       01110110 block.tx[0].vout[0].script_pubkey
       179 0x000000b3 8b       10001011 block.tx[0].vout[0].script_pubkey
       180 0x000000b4 a4       10100100 block.tx[0].vout[0].script_pubkey
       181 0x000000b5 3f       00111111 block.tx[0].vout[0].script_pubkey
       182 0x000000b6 c3       11000011 block.tx[0].vout[0].script_pubkey
       183 0x000000b7 1c       00011100 block.tx[0].vout[0].script_pubkey
       184 0x000000b8 00       00000000 block.tx[0].vout[1].value_satoshi
       185 0x000000b9 00       00000000 block.tx[0].vout[1].value_satoshi
       186 0x000000ba 00       00000000 block.tx[0].vout[1].value_satoshi
       187 0x000000bb 00       00000000 block.tx[0].vout[1].value_satoshi
       188 0x000000bc 00       00000000 block.tx[0].vout[1].value_satoshi
       189 0x000000bd 00       00000000 block.tx[0].vout[1].value_satoshi
       190 0x000000be 00       00000000 block.tx[0].vout[1].value_satoshi
