offset_dec offset_hex byte_hex bits       field
       819 0x00000333 ac       10101100 block.tx[3].vout[1].script_pubkey
       820 0x00000334 8d       10001101 block.tx[3].vout[1].script_pubkey
       821 0x00000335 ac       10101100 block.tx[3].vout[1].script_pubkey
       822 0x00000336 f8       11111000 block.tx[3].vout[1].script_pubkey
       823 0x00000337 36       00110110 block.tx[3].vout[1].script_pubkey
       824 0x00000338 10       00010000 block.tx[3].vout[2].value_satoshi
       825 0x00000339 27       00100111 block.tx[3].vout[2].value_satoshi
       826 0x0000033a 00       00000000 block.tx[3].vout[2].value_satoshi
       827 0x0000033b 00       00000000 block.tx[3].vout[2].value_satoshi
       828 0x0000033c 00       00000000 block.tx[3].vout[2].value_satoshi
       829 0x0000033d 00       00000000 block.tx[3].vout[2].value_satoshi
       830 0x0000033e 00       00000000 block.tx[3].vout[2].value_satoshi
       831 0x0000033f 00       00000000 block.tx[3].vout[2].value_satoshi
       832 0x00000340 16       00010110 block.tx[3].vout[2].script_pubkey_length
       833 0x00000341 00       00000000 block.tx[3].vout[2].script_pubkey
       834 0x00000342 14       00010100 block.tx[3].vout[2].script_pubkey
       835 0x00000343 69       01101001 block.tx[3].vout[2].script_pubkey
       836 0x00000344 8d       10001101 block.tx[3].vout[2].script_pubkey
       837 0x00000345 10       00010000 block.tx[3].vout[2].script_pubkey
       838 0x00000346 1a       00011010 block.tx[3].vout[2].script_pubkey
       839 0x00000347 66       01100110 block.tx[3].vout[2].script_pubkey
       840 0x00000348 75       01110101 block.tx[3].vout[2].script_pubkey
       841 0x00000349 ae       10101110 block.tx[3].vout[2].script_pubkey
       842 0x0000034a 53       01010011 block.tx[3].vout[2].script_pubkey
       843 0x0000034b 62       01100010 block.tx[3].vout[2].script_pubkey
       844 0x0000034c fe       11111110 block.tx[3].vout[2].script_pubkey
       845 0x0000034d 07       00000111 block.tx[3].vout[2].script_pubkey
       846 0x0000034e dc       11011100 block.tx[3].vout[2].script_pubkey
       847 0x0000034f 2f       00101111 block.tx[3].vout[2].script_pubkey
       848 0x00000350 6e       01101110 block.tx[3].vout[2].script_pubkey
       849 0x00000351 72       01110010 block.tx[3].vout[2].script_pubkey
       850 0x00000352 83       10000011 block.tx[3].vout[2].script_pubkey
       851 0x00000353 3f       00111111 block.tx[3].vout[2].script_pubkey
       852 0x00000354 08       00001000 block.tx[3].vout[2].script_pubkey
       853 0x00000355 f4       11110100 block.tx[3].vout[2].script_pubkey
       854 0x00000356 96       10010110 block.tx[3].vout[2].script_pubkey
       855 0x00000357 ce       11001110 block.tx[3].vout[3].value_satoshi
       856 0x00000358 e3       11100011 block.tx[3].vout[3].value_satoshi
       857 0x00000359 ef       11101111 block.tx[3].vout[3].value_satoshi
       858 0x0000035a 06       00000110 block.tx[3].vout[3].value_satoshi
       859 0x0000035b 00       00000000 block.tx[3].vout[3].value_satoshi
       860 0x0000035c 00       00000000 block.tx[3].vout[3].value_satoshi
       861 0x0000035d 00       00000000 block.tx[3].vout[3].value_satoshi
       862 0x0000035e 00       00000000 block.tx[3].vout[3].value_satoshi
       863 0x0000035f 22       00100010 block.tx[3].vout[3].script_pubkey_length
       864 0x00000360 00       00000000 block.tx[3].vout[3].script_pubkey
       865 0x00000361 20       00100000 block.tx[3].vout[3].script_pubkey
       866 0x00000362 8a       10001010 block.tx[3].vout[3].script_pubkey
       867 0x00000363 e2       11100010 block.tx[3].vout[3].script_pubkey
       868 0x00000364 97       10010111 block.tx[3].vout[3].script_pubkey
       869 0x00000365 88       10001000 block.tx[3].vout[3].script_pubkey
       870 0x00000366 73       01110011 block.tx[3].vout[3].script_pubkey
       871 0x00000367 f9       11111001 block.tx[3].vout[3].script_pubkey
       872 0x00000368 14       00010100 block.tx[3].vout[3].script_pubkey
       873 0x00000369 0f       00001111 block.tx[3].vout[3].script_pubkey
       874 0x0000036a 46       01000110 block.tx[3].vout[3].script_pubkey
       875 0x0000036b 7c       01111100 block.tx[3].vout[3].script_pubkey
       876 0x0000036c d0       11010000 block.tx[3].vout[3].script_pubkey
       877 0x0000036d 23       00100011 block.tx[3].vout[3].script_pubkey
       878 0x0000036e e6       11100110 block.tx[3].vout[3].script_pubkey
       879 0x0000036f fd       11111101 block.tx[3].vout[3].script_pubkey
       880 0x00000370 ef       11101111 block.tx[3].vout[3].script_pubkey
       881 0x00000371 19       00011001 block.tx[3].vout[3].script_pubkey
       882 0x00000372 c5       11000101 block.tx[3].vout[3].script_pubkey
       883 0x00000373 45       01000101 block.tx[3].vout[3].script_pubkey
       884 0x00000374 c5       11000101 block.tx[3].vout[3].script_pubkey
       885 0x00000375 0f       00001111 block.tx[3].vout[3].script_pubkey
       886 0x00000376 31       00110001 block.tx[3].vout[3].script_pubkey
       887 0x00000377 66       01100110 block.tx[3].vout[3].script_pubkey
       888 0x00000378 d7       11010111 block.tx[3].vout[3].script_pubkey
       889 0x00000379 0f       00001111 block.tx[3].vout[3].script_pubkey
       890 0x0000037a 11       00010001 block.tx[3].vout[3].script_pubkey
       891 0x0000037b ec       11101100 block.tx[3].vout[3].script_pubkey
       892 0x0000037c b9       10111001 block.tx[3].vout[3].script_pubkey
       893 0x0000037d 6a       01101010 block.tx[3].vout[3].script_pubkey
       894 0x0000037e 76       01110110 block.tx[3].vout[3].script_pubkey
       895 0x0000037f 40       01000000 block.tx[3].vout[3].script_pubkey
       896 0x00000380 3d       00111101 block.tx[3].vout[3].script_pubkey
       897 0x00000381 bb       10111011 block.tx[3].vout[3].script_pubkey
       898 0x00000382 04       00000100 block.tx[3].vin[0].witness_count
       899 0x00000383 00       00000000 block.tx[3].vin[0].witness[0].length
       900 0x00000384 48       01001000 block.tx[3].vin[0].witness[1].length
       901 0x00000385 30       00110000 block.tx[3].vin[0].witness[1].data
       902 0x00000386 45       01000101 block.tx[3].vin[0].witness[1].data
       903 0x00000387 02       00000010 block.tx[3].vin[0].witness[1].data
       904 0x00000388 21       00100001 block.tx[3].vin[0].witness[1].data
       905 0x00000389 00       00000000 block.tx[3].vin[0].witness[1].data
       906 0x0000038a b5       10110101 block.tx[3].vin[0].witness[1].data
       907 0x0000038b 61       01100001 block.tx[3].vin[0].witness[1].data
       908 0x0000038c 59       01011001 block.tx[3].vin[0].witness[1].data
       909 0x0000038d 15       00010101 block.tx[3].vin[0].witness[1].data
       910 0x0000038e 24       00100100 block.tx[3].vin[0].witness[1].data
       911 0x0000038f 59       01011001 block.tx[3].vin[0].witness[1].data
       912 0x00000390 4b       01001011 block.tx[3].vin[0].witness[1].data
       913 0x00000391 99       10011001 block.tx[3].vin[0].witness[1].data
       914 0x00000392 69       01101001 block.tx[3].vin[0].witness[1].data
       915 0x00000393 93       10010011 block.tx[3].vin[0].witness[1].data
       916 0x00000394 a1       10100001 block.tx[3].vin[0].witness[1].data
       917 0x00000395 39       00111001 block.tx[3].vin[0].witness[1].data
       918 0x00000396 3d       00111101 block.tx[3].vin[0].witness[1].data
       919 0x00000397 23       00100011 block.tx[3].vin[0].witness[1].data
       920 0x00000398 f7       11110111 block.tx[3].vin[0].witness[1].data
       921 0x00000399 db       11011011 block.tx[3].vin[0].witness[1].data
       922 0x0000039a da       11011010 block.tx[3].vin[0].witness[1].data
       923 0x0000039b 24       00100100 block.tx[3].vin[0].witness[1].data
       924 0x0000039c 17       00010111 block.tx[3].vin[0].witness[1].data
       925 0x0000039d a4       10100100 block.tx[3].vin[0].witness[1].data
       926 0x0000039e 0e       00001110 block.tx[3].vin[0].witness[1].data
       927 0x0000039f 1e       00011110 block.tx[3].vin[0].witness[1].data
       928 0x000003a0 c5       11000101 block.tx[3].vin[0].witness[1].data
       929 0x000003a1 7f       01111111 block.tx[3].vin[0].witness[1].data
       930 0x000003a2 40       01000000 block.tx[3].vin[0].witness[1].data
       931 0x000003a3 5b       01011011 block.tx[3].vin[0].witness[1].data
       932 0x000003a4 67       01100111 block.tx[3].vin[0].witness[1].data
       933 0x000003a5 b1       10110001 block.tx[3].vin[0].witness[1].data
       934 0x000003a6 2d       00101101 block.tx[3].vin[0].witness[1].data
       935 0x000003a7 5d       01011101 block.tx[3].vin[0].witness[1].data
       936 0x000003a8 f3       11110011 block.tx[3].vin[0].witness[1].data
       937 0x000003a9 95       10010101 block.tx[3].vin[0].witness[1].data
       938 0x000003aa 02       00000010 block.tx[3].vin[0].witness[1].data
       939 0x000003ab 20       00100000 block.tx[3].vin[0].witness[1].data
       940 0x000003ac 2d       00101101 block.tx[3].vin[0].witness[1].data
       941 0x000003ad f0       11110000 block.tx[3].vin[0].witness[1].data
       942 0x000003ae 6d       01101101 block.tx[3].vin[0].witness[1].data
       943 0x000003af dd       11011101 block.tx[3].vin[0].witness[1].data
       944 0x000003b0 ce       11001110 block.tx[3].vin[0].witness[1].data
       945 0x000003b1 c4       11000100 block.tx[3].vin[0].witness[1].data
       946 0x000003b2 27       00100111 block.tx[3].vin[0].witness[1].data
       947 0x000003b3 d3       11010011 block.tx[3].vin[0].witness[1].data
       948 0x000003b4 b8       10111000 block.tx[3].vin[0].witness[1].data
       949 0x000003b5 c7       11000111 block.tx[3].vin[0].witness[1].data
       950 0x000003b6 6e       01101110 block.tx[3].vin[0].witness[1].data
       951 0x000003b7 b8       10111000 block.tx[3].vin[0].witness[1].data
       952 0x000003b8 a5       10100101 block.tx[3].vin[0].witness[1].data
       953 0x000003b9 80       10000000 block.tx[3].vin[0].witness[1].data
       954 0x000003ba 11       00010001 block.tx[3].vin[0].witness[1].data
       955 0x000003bb 36       00110110 block.tx[3].vin[0].witness[1].data
       956 0x000003bc 10       00010000 block.tx[3].vin[0].witness[1].data
       957 0x000003bd fb       11111011 block.tx[3].vin[0].witness[1].data
       958 0x000003be f6       11110110 block.tx[3].vin[0].witness[1].data
       959 0x000003bf b5       10110101 block.tx[3].vin[0].witness[1].data
       960 0x000003c0 38       00111000 block.tx[3].vin[0].witness[1].data
       961 0x000003c1 11       00010001 block.tx[3].vin[0].witness[1].data
       962 0x000003c2 20       00100000 block.tx[3].vin[0].witness[1].data
       963 0x000003c3 6f       01101111 block.tx[3].vin[0].witness[1].data
       964 0x000003c4 05       00000101 block.tx[3].vin[0].witness[1].data
       965 0x000003c5 2c       00101100 block.tx[3].vin[0].witness[1].data
       966 0x000003c6 1d       00011101 block.tx[3].vin[0].witness[1].data
       967 0x000003c7 b9       10111001 block.tx[3].vin[0].witness[1].data
       968 0x000003c8 1c       00011100 block.tx[3].vin[0].witness[1].data
       969 0x000003c9 cf       11001111 block.tx[3].vin[0].witness[1].data
       970 0x000003ca 06       00000110 block.tx[3].vin[0].witness[1].data
       971 0x000003cb 88       10001000 block.tx[3].vin[0].witness[1].data
       972 0x000003cc 01       00000001 block.tx[3].vin[0].witness[1].data
       973 0x000003cd 47       01000111 block.tx[3].vin[0].witness[2].length
       974 0x000003ce 30       00110000 block.tx[3].vin[0].witness[2].data
       975 0x000003cf 44       01000100 block.tx[3].vin[0].witness[2].data
       976 0x000003d0 02       00000010 block.tx[3].vin[0].witness[2].data
       977 0x000003d1 20       00100000 block.tx[3].vin[0].witness[2].data
       978 0x000003d2 6d       01101101 block.tx[3].vin[0].witness[2].data
       979 0x000003d3 99       10011001 block.tx[3].vin[0].witness[2].data
       980 0x000003d4 1f       00011111 block.tx[3].vin[0].witness[2].data
       981 0x000003d5 a4       10100100 block.tx[3].vin[0].witness[2].data
       982 0x000003d6 b5       10110101 block.tx[3].vin[0].witness[2].data
       983 0x000003d7 4c       01001100 block.tx[3].vin[0].witness[2].data
       984 0x000003d8 44       01000100 block.tx[3].vin[0].witness[2].data
       985 0x000003d9 3c       00111100 block.tx[3].vin[0].witness[2].data
       986 0x000003da 57       01010111 block.tx[3].vin[0].witness[2].data
       987 0x000003db ba       10111010 block.tx[3].vin[0].witness[2].data
       988 0x000003dc c9       11001001 block.tx[3].vin[0].witness[2].data
       989 0x000003dd 40       01000000 block.tx[3].vin[0].witness[2].data
       990 0x000003de e7       11100111 block.tx[3].vin[0].witness[2].data
       991 0x000003df c8       11001000 block.tx[3].vin[0].witness[2].data
       992 0x000003e0 98       10011000 block.tx[3].vin[0].witness[2].data
       993 0x000003e1 a6       10100110 block.tx[3].vin[0].witness[2].data
       994 0x000003e2 2d       00101101 block.tx[3].vin[0].witness[2].data
       995 0x000003e3 c8       11001000 block.tx[3].vin[0].witness[2].data
       996 0x000003e4 65       01100101 block.tx[3].vin[0].witness[2].data
       997 0x000003e5 30       00110000 block.tx[3].vin[0].witness[2].data
       998 0x000003e6 11       00010001 block.tx[3].vin[0].witness[2].data
       999 0x000003e7 74       01110100 block.tx[3].vin[0].witness[2].data
      1000 0x000003e8 4d       01001101 block.tx[3].vin[0].witness[2].data
      1001 0x000003e9 ca       11001010 block.tx[3].vin[0].witness[2].data
      1002 0x000003ea 6d       01101101 block.tx[3].vin[0].witness[2].data
      1003 0x000003eb 94       10010100 block.tx[3].vin[0].witness[2].data
      1004 0x000003ec f0       11110000 block.tx[3].vin[0].witness[2].data
      1005 0x000003ed 0b       00001011 block.tx[3].vin[0].witness[2].data
      1006 0x000003ee ef       11101111 block.tx[3].vin[0].witness[2].data
      1007 0x000003ef 3d       00111101 block.tx[3].vin[0].witness[2].data
      1008 0x000003f0 61       01100001 block.tx[3].vin[0].witness[2].data
      1009 0x000003f1 d3       11010011 block.tx[3].vin[0].witness[2].data
      1010 0x000003f2 02       00000010 block.tx[3].vin[0].witness[2].data
      1011 0x000003f3 20       00100000 block.tx[3].vin[0].witness[2].data
      1012 0x000003f4 6e       01101110 block.tx[3].vin[0].witness[2].data
      1013 0x000003f5 d9       11011001 block.tx[3].vin[0].witness[2].data
      1014 0x000003f6 1d       00011101 block.tx[3].vin[0].witness[2].data
      1015 0x000003f7 1e       00011110 block.tx[3].vin[0].witness[2].data
      1016 0x000003f8 7a       01111010 block.tx[3].vin[0].witness[2].data
      1017 0x000003f9 bd       10111101 block.tx[3].vin[0].witness[2].data
      1018 0x000003fa d1       11010001 block.tx[3].vin[0].witness[2].data
      1019 0x000003fb e1       11100001 block.tx[3].vin[0].witness[2].data
      1020 0x000003fc 8e       10001110 block.tx[3].vin[0].witness[2].data
      1021 0x000003fd b6       10110110 block.tx[3].vin[0].witness[2].data
      1022 0x000003fe 28       00101000 block.tx[3].vin[0].witness[2].data
      1023 0x000003ff d2       11010010 block.tx[3].vin[0].witness[2].data
      1024 0x00000400 1c       00011100 block.tx[3].vin[0].witness[2].data
      1025 0x00000401 1a       00011010 block.tx[3].vin[0].witness[2].data
      1026 0x00000402 8a       10001010 block.tx[3].vin[0].witness[2].data
      1027 0x00000403 8d       10001101 block.tx[3].vin[0].witness[2].data
      1028 0x00000404 3c       00111100 block.tx[3].vin[0].witness[2].data
      1029 0x00000405 2f       00101111 block.tx[3].vin[0].witness[2].data
      1030 0x00000406 21       00100001 block.tx[3].vin[0].witness[2].data
      1031 0x00000407 4d       01001101 block.tx[3].vin[0].witness[2].data
      1032 0x00000408 72       01110010 block.tx[3].vin[0].witness[2].data
      1033 0x00000409 f1       11110001 block.tx[3].vin[0].witness[2].data
      1034 0x0000040a bd       10111101 block.tx[3].vin[0].witness[2].data
      1035 0x0000040b 51       01010001 block.tx[3].vin[0].witness[2].data
      1036 0x0000040c 8d       10001101 block.tx[3].vin[0].witness[2].data
      1037 0x0000040d 23       00100011 block.tx[3].vin[0].witness[2].data
      1038 0x0000040e 9f       10011111 block.tx[3].vin[0].witness[2].data
      1039 0x0000040f 3c       00111100 block.tx[3].vin[0].witness[2].data
      1040 0x00000410 1f       00011111 block.tx[3].vin[0].witness[2].data
      1041 0x00000411 2e       00101110 block.tx[3].vin[0].witness[2].data
      1042 0x00000412 da       11011010 block.tx[3].vin[0].witness[2].data
      1043 0x00000413 e3       11100011 block.tx[3].vin[0].witness[2].data
      1044 0x00000414 01       00000001 block.tx[3].vin[0].witness[2].data
      1045 0x00000415 69       01101001 block.tx[3].vin[0].witness[3].length
      1046 0x00000416 52       01010010 block.tx[3].vin[0].witness[3].data
      1047 0x00000417 21       00100001 block.tx[3].vin[0].witness[3].data
      1048 0x00000418 02       00000010 block.tx[3].vin[0].witness[3].data
      1049 0x00000419 85       10000101 block.tx[3].vin[0].witness[3].data
      1050 0x0000041a 0d       00001101 block.tx[3].vin[0].witness[3].data
      1051 0x0000041b ba       10111010 block.tx[3].vin[0].witness[3].data
      1052 0x0000041c 2c       00101100 block.tx[3].vin[0].witness[3].data
      1053 0x0000041d 9f       10011111 block.tx[3].vin[0].witness[3].data
      1054 0x0000041e 82       10000010 block.tx[3].vin[0].witness[3].data
      1055 0x0000041f 8a       10001010 block.tx[3].vin[0].witness[3].data
      1056 0x00000420 68       01101000 block.tx[3].vin[0].witness[3].data
      1057 0x00000421 ad       10101101 block.tx[3].vin[0].witness[3].data
      1058 0x00000422 d0       11010000 block.tx[3].vin[0].witness[3].data
      1059 0x00000423 9a       10011010 block.tx[3].vin[0].witness[3].data
      1060 0x00000424 e1       11100001 block.tx[3].vin[0].witness[3].data
      1061 0x00000425 00       00000000 block.tx[3].vin[0].witness[3].data
      1062 0x00000426 b7       10110111 block.tx[3].vin[0].witness[3].data
      1063 0x00000427 6a       01101010 block.tx[3].vin[0].witness[3].data
      1064 0x00000428 bc       10111100 block.tx[3].vin[0].witness[3].data
      1065 0x00000429 bd       10111101 block.tx[3].vin[0].witness[3].data
      1066 0x0000042a 2e       00101110 block.tx[3].vin[0].witness[3].data
      1067 0x0000042b ba       10111010 block.tx[3].vin[0].witness[3].data
      1068 0x0000042c f8       11111000 block.tx[3].vin[0].witness[3].data
      1069 0x0000042d cd       11001101 block.tx[3].vin[0].witness[3].data
      1070 0x0000042e 12       00010010 block.tx[3].vin[0].witness[3].data
      1071 0x0000042f 18       00011000 block.tx[3].vin[0].witness[3].data
      1072 0x00000430 41       01000001 block.tx[3].vin[0].witness[3].data
      1073 0x00000431 f5       11110101 block.tx[3].vin[0].witness[3].data
      1074 0x00000432 9f       10011111 block.tx[3].vin[0].witness[3].data
      1075 0x00000433 22       00100010 block.tx[3].vin[0].witness[3].data
      1076 0x00000434 a7       10100111 block.tx[3].vin[0].witness[3].data
      1077 0x00000435 8b       10001011 block.tx[3].vin[0].witness[3].data
      1078 0x00000436 85       10000101 block.tx[3].vin[0].witness[3].data
      1079 0x00000437 3b       00111011 block.tx[3].vin[0].witness[3].data
      1080 0x00000438 47       01000111 block.tx[3].vin[0].witness[3].data
      1081 0x00000439 21       00100001 block.tx[3].vin[0].witness[3].data
      1082 0x0000043a 02       00000010 block.tx[3].vin[0].witness[3].data
      1083 0x0000043b af       10101111 block.tx[3].vin[0].witness[3].data
      1084 0x0000043c 0d       00001101 block.tx[3].vin[0].witness[3].data
      1085 0x0000043d e2       11100010 block.tx[3].vin[0].witness[3].data
      1086 0x0000043e 8f       10001111 block.tx[3].vin[0].witness[3].data
      1087 0x0000043f e5       11100101 block.tx[3].vin[0].witness[3].data
      1088 0x00000440 c9       11001001 block.tx[3].vin[0].witness[3].data
      1089 0x00000441 b6       10110110 block.tx[3].vin[0].witness[3].data
      1090 0x00000442 67       01100111 block.tx[3].vin[0].witness[3].data
      1091 0x00000443 f7       11110111 block.tx[3].vin[0].witness[3].data
      1092 0x00000444 81       10000001 block.tx[3].vin[0].witness[3].data
      1093 0x00000445 9a       10011010 block.tx[3].vin[0].witness[3].data
      1094 0x00000446 b5       10110101 block.tx[3].vin[0].witness[3].data
      1095 0x00000447 e8       11101000 block.tx[3].vin[0].witness[3].data
      1096 0x00000448 2e       00101110 block.tx[3].vin[0].witness[3].data
      1097 0x00000449 0e       00001110 block.tx[3].vin[0].witness[3].data
      1098 0x0000044a c6       11000110 block.tx[3].vin[0].witness[3].data
      1099 0x0000044b 57       01010111 block.tx[3].vin[0].witness[3].data
      1100 0x0000044c 79       01111001 block.tx[3].vin[0].witness[3].data
      1101 0x0000044d 9d       10011101 block.tx[3].vin[0].witness[3].data
      1102 0x0000044e e9       11101001 block.tx[3].vin[0].witness[3].data
      1103 0x0000044f 88       10001000 block.tx[3].vin[0].witness[3].data
      1104 0x00000450 92       10010010 block.tx[3].vin[0].witness[3].data
      1105 0x00000451 d2       11010010 block.tx[3].vin[0].witness[3].data
      1106 0x00000452 16       00010110 block.tx[3].vin[0].witness[3].data
      1107 0x00000453 fd       11111101 block.tx[3].vin[0].witness[3].data
      1108 0x00000454 e7       11100111 block.tx[3].vin[0].witness[3].data
      1109 0x00000455 e7       11100111 block.tx[3].vin[0].witness[3].data
      1110 0x00000456 3a       00111010 block.tx[3].vin[0].witness[3].data
      1111 0x00000457 fa       11111010 block.tx[3].vin[0].witness[3].data
      1112 0x00000458 d0       11010000 block.tx[3].vin[0].witness[3].data
      1113 0x00000459 96       10010110 block.tx[3].vin[0].witness[3].data
      1114 0x0000045a 5b       01011011 block.tx[3].vin[0].witness[3].data
      1115 0x0000045b 21       00100001 block.tx[3].vin[0].witness[3].data
      1116 0x0000045c 03       00000011 block.tx[3].vin[0].witness[3].data
      1117 0x0000045d 97       10010111 block.tx[3].vin[0].witness[3].data
      1118 0x0000045e eb       11101011 block.tx[3].vin[0].witness[3].data
      1119 0x0000045f 40       01000000 block.tx[3].vin[0].witness[3].data
      1120 0x00000460 6b       01101011 block.tx[3].vin[0].witness[3].data
      1121 0x00000461 2f       00101111 block.tx[3].vin[0].witness[3].data
      1122 0x00000462 62       01100010 block.tx[3].vin[0].witness[3].data
      1123 0x00000463 06       00000110 block.tx[3].vin[0].witness[3].data
      1124 0x00000464 52       01010010 block.tx[3].vin[0].witness[3].data
      1125 0x00000465 54       01010100 block.tx[3].vin[0].witness[3].data
      1126 0x00000466 37       00110111 block.tx[3].vin[0].witness[3].data
      1127 0x00000467 0b       00001011 block.tx[3].vin[0].witness[3].data
      1128 0x00000468 05       00000101 block.tx[3].vin[0].witness[3].data
      1129 0x00000469 53       01010011 block.tx[3].vin[0].witness[3].data
      1130 0x0000046a a2       10100010 block.tx[3].vin[0].witness[3].data
      1131 0x0000046b 0a       00001010 block.tx[3].vin[0].witness[3].data
      1132 0x0000046c e9       11101001 block.tx[3].vin[0].witness[3].data
      1133 0x0000046d 34       00110100 block.tx[3].vin[0].witness[3].data
      1134 0x0000046e 92       10010010 block.tx[3].vin[0].witness[3].data
      1135 0x0000046f de       11011110 block.tx[3].vin[0].witness[3].data
      1136 0x00000470 b9       10111001 block.tx[3].vin[0].witness[3].data
      1137 0x00000471 c5       11000101 block.tx[3].vin[0].witness[3].data
      1138 0x00000472 3d       00111101 block.tx[3].vin[0].witness[3].data
      1139 0x00000473 21       00100001 block.tx[3].vin[0].witness[3].data
      1140 0x00000474 5e       01011110 block.tx[3].vin[0].witness[3].data
      1141 0x00000475 20       00100000 block.tx[3].vin[0].witness[3].data
      1142 0x00000476 59       01011001 block.tx[3].vin[0].witness[3].data
      1143 0x00000477 88       10001000 block.tx[3].vin[0].witness[3].data
      1144 0x00000478 1f       00011111 block.tx[3].vin[0].witness[3].data
      1145 0x00000479 a6       10100110 block.tx[3].vin[0].witness[3].data
      1146 0x0000047a c3       11000011 block.tx[3].vin[0].witness[3].data
      1147 0x0000047b 32       00110010 block.tx[3].vin[0].witness[3].data
      1148 0x0000047c af       10101111 block.tx[3].vin[0].witness[3].data
      1149 0x0000047d 53       01010011 block.tx[3].vin[0].witness[3].data
      1150 0x0000047e ae       10101110 block.tx[3].vin[0].witness[3].data
      1151 0x0000047f 00       00000000 block.tx[3].locktime
      1152 0x00000480 00       00000000 block.tx[3].locktime
      1153 0x00000481 00       00000000 block.tx[3].locktime
      1154 0x00000482 00       00000000 block.tx[3].locktime
      1155 0x00000483 01       00000001 block.tx[4].version
      1156 0x00000484 00       00000000 block.tx[4].version
      1157 0x00000485 00       00000000 block.tx[4].version
      1158 0x00000486 00       00000000 block.tx[4].version
      1159 0x00000487 00       00000000 block.tx[4].marker
      1160 0x00000488 01       00000001 block.tx[4].flag
      1161 0x00000489 01       00000001 block.tx[4].input_count
      1162 0x0000048a db       11011011 block.tx[4].vin[0].prev_txid_le
      1163 0x0000048b e3       11100011 block.tx[4].vin[0].prev_txid_le
      1164 0x0000048c fb       11111011 block.tx[4].vin[0].prev_txid_le
      1165 0x0000048d d5       11010101 block.tx[4].vin[0].prev_txid_le
      1166 0x0000048e 7d       01111101 block.tx[4].vin[0].prev_txid_le
      1167 0x0000048f ea       11101010 block.tx[4].vin[0].prev_txid_le
      1168 0x00000490 97       10010111 block.tx[4].vin[0].prev_txid_le
      1169 0x00000491 f4       11110100 block.tx[4].vin[0].prev_txid_le
      1170 0x00000492 91       10010001 block.tx[4].vin[0].prev_txid_le
      1171 0x00000493 aa       10101010 block.tx[4].vin[0].prev_txid_le
      1172 0x00000494 50       01010000 block.tx[4].vin[0].prev_txid_le
      1173 0x00000495 e0       11100000 block.tx[4].vin[0].prev_txid_le
      1174 0x00000496 ad       10101101 block.tx[4].vin[0].prev_txid_le
      1175 0x00000497 79       01111001 block.tx[4].vin[0].prev_txid_le
      1176 0x00000498 39       00111001 block.tx[4].vin[0].prev_txid_le
      1177 0x00000499 e4       11100100 block.tx[4].vin[0].prev_txid_le
      1178 0x0000049a ea       11101010 block.tx[4].vin[0].prev_txid_le
      1179 0x0000049b 29       00101001 block.tx[4].vin[0].prev_txid_le
      1180 0x0000049c 3e       00111110 block.tx[4].vin[0].prev_txid_le
      1181 0x0000049d 69       01101001 block.tx[4].vin[0].prev_txid_le
      1182 0x0000049e 02       00000010 block.tx[4].vin[0].prev_txid_le
      1183 0x0000049f 2f       00101111 block.tx[4].vin[0].prev_txid_le
      1184 0x000004a0 aa       10101010 block.tx[4].vin[0].prev_txid_le
      1185 0x000004a1 08       00001000 block.tx[4].vin[0].prev_txid_le
      1186 0x000004a2 58       01011000 block.tx[4].vin[0].prev_txid_le
      1187 0x000004a3 00       00000000 block.tx[4].vin[0].prev_txid_le
      1188 0x000004a4 21       00100001 block.tx[4].vin[0].prev_txid_le
      1189 0x000004a5 ba       10111010 block.tx[4].vin[0].prev_txid_le
      1190 0x000004a6 e9       11101001 block.tx[4].vin[0].prev_txid_le
      1191 0x000004a7 d6       11010110 block.tx[4].vin[0].prev_txid_le
      1192 0x000004a8 4d       01001101 block.tx[4].vin[0].prev_txid_le
      1193 0x000004a9 ad       10101101 block.tx[4].vin[0].prev_txid_le
      1194 0x000004aa 01       00000001 block.tx[4].vin[0].prev_vout
      1195 0x000004ab 00       00000000 block.tx[4].vin[0].prev_vout
      1196 0x000004ac 00       00000000 block.tx[4].vin[0].prev_vout
      1197 0x000004ad 00       00000000 block.tx[4].vin[0].prev_vout
      1198 0x000004ae 00       00000000 block.tx[4].vin[0].script_sig_length
      1199 0x000004af ff       11111111 block.tx[4].vin[0].sequence
      1200 0x000004b0 ff       11111111 block.tx[4].vin[0].sequence
      1201 0x000004b1 ff       11111111 block.tx[4].vin[0].sequence
      1202 0x000004b2 ff       11111111 block.tx[4].vin[0].sequence
      1203 0x000004b3 02       00000010 block.tx[4].output_count
      1204 0x000004b4 10       00010000 block.tx[4].vout[0].value_satoshi
      1205 0x000004b5 27       00100111 block.tx[4].vout[0].value_satoshi
      1206 0x000004b6 00       00000000 block.tx[4].vout[0].value_satoshi
      1207 0x000004b7 00       00000000 block.tx[4].vout[0].value_satoshi
      1208 0x000004b8 00       00000000 block.tx[4].vout[0].value_satoshi
      1209 0x000004b9 00       00000000 block.tx[4].vout[0].value_satoshi
      1210 0x000004ba 00       00000000 block.tx[4].vout[0].value_satoshi
      1211 0x000004bb 00       00000000 block.tx[4].vout[0].value_satoshi
      1212 0x000004bc 16       00010110 block.tx[4].vout[0].script_pubkey_length
      1213 0x000004bd 00       00000000 block.tx[4].vout[0].script_pubkey
      1214 0x000004be 14       00010100 block.tx[4].vout[0].script_pubkey
