start,end_exclusive,length,field,wire_hex,interpreted_value
3020,3054,34,block.tx[9].vout[5].script_pubkey,5120cd667b8d4229264ae33e04c67a14209716424eb22b68a2c89b64eefbc000a722,5120cd667b8d4229264ae33e04c67a14209716424eb22b68a2c89b64eefbc000a722
3054,3062,8,block.tx[9].vout[6].value_satoshi,d007000000000000,2000
3062,3063,1,block.tx[9].vout[6].script_pubkey_length,22,34
3063,3097,34,block.tx[9].vout[6].script_pubkey,5120159508ea6f9a0701cd8cfc8d09ed0ed7ac0dec82894e987f834919be7ccfda08,5120159508ea6f9a0701cd8cfc8d09ed0ed7ac0dec82894e987f834919be7ccfda08
3097,3098,1,block.tx[9].vin[0].witness_count,01,1
3098,3099,1,block.tx[9].vin[0].witness[0].length,40,64
3099,3163,64,block.tx[9].vin[0].witness[0].data,fa9d34f826efc47491228feb83bae08f62145695f98f2252cb60227b40df0a7ca23324a6f55651d49f846cb5a019ca21ce07ffbb5d0e1ce70710eba4ff223edc,fa9d34f826efc47491228feb83bae08f62145695f98f2252cb60227b40df0a7ca23324a6f55651d49f846cb5a019ca21ce07ffbb5d0e1ce70710eba4ff223edc
3163,3167,4,block.tx[9].locktime,ec350200,144876
3167,3171,4,block.tx[10].version,02000000,2
3171,3172,1,block.tx[10].marker,00,0 (SegWit marker)
3172,3173,1,block.tx[10].flag,01,1 (witness present)
3173,3174,1,block.tx[10].input_count,01,1
3174,3206,32,block.tx[10].vin[0].prev_txid_le,6120a4fd03007b5d1ae53d3f1eade984643d0357481a86e5b796caf952ab1247,6120a4fd03007b5d1ae53d3f1eade984643d0357481a86e5b796caf952ab1247
3206,3210,4,block.tx[10].vin[0].prev_vout,02000000,2
3210,3211,1,block.tx[10].vin[0].script_sig_length,00,0
3211,3211,0,block.tx[10].vin[0].script_sig,,
3211,3215,4,block.tx[10].vin[0].sequence,fdffffff,4294967293
3215,3216,1,block.tx[10].output_count,02,2
3216,3224,8,block.tx[10].vout[0].value_satoshi,0000000000000000,0
3224,3225,1,block.tx[10].vout[0].script_pubkey_length,22,34
3225,3259,34,block.tx[10].vout[0].script_pubkey,6a20bed663545b78ec6d40ac0ee1ee1d2f9890653911c1c1a7064bbe9358e7860c36,6a20bed663545b78ec6d40ac0ee1ee1d2f9890653911c1c1a7064bbe9358e7860c36
3259,3267,8,block.tx[10].vout[1].value_satoshi,2202000000000000,546
3267,3268,1,block.tx[10].vout[1].script_pubkey_length,22,34
3268,3302,34,block.tx[10].vout[1].script_pubkey,5120b2890908b1c688c71b715cde10f047ae6700fc769ebe7e3e26358a5a7bcb11f4,5120b2890908b1c688c71b715cde10f047ae6700fc769ebe7e3e26358a5a7bcb11f4
3302,3303,1,block.tx[10].vin[0].witness_count,01,1
3303,3304,1,block.tx[10].vin[0].witness[0].length,40,64
3304,3368,64,block.tx[10].vin[0].witness[0].data,a6aa93fc99c7e8334fd9b6aac93164b683a296b1c31ae5148989d28550e549086b4096f2b4f1cf95f1be2455319acf5aae372eb546e573f72c6da6f87583bba4,a6aa93fc99c7e8334fd9b6aac93164b683a296b1c31ae5148989d28550e549086b4096f2b4f1cf95f1be2455319acf5aae372eb546e573f72c6da6f87583bba4
3368,3372,4,block.tx[10].locktime,ec350200,144876
3372,3376,4,block.tx[11].version,02000000,2
3376,3377,1,block.tx[11].marker,00,0 (SegWit marker)
3377,3378,1,block.tx[11].flag,01,1 (witness present)
3378,3379,1,block.tx[11].input_count,01,1
3379,3411,32,block.tx[11].vin[0].prev_txid_le,6120a4fd03007b5d1ae53d3f1eade984643d0357481a86e5b796caf952ab1247,6120a4fd03007b5d1ae53d3f1eade984643d0357481a86e5b796caf952ab1247
3411,3415,4,block.tx[11].vin[0].prev_vout,08000000,8
3415,3416,1,block.tx[11].vin[0].script_sig_length,00,0
3416,3416,0,block.tx[11].vin[0].script_sig,,
3416,3420,4,block.tx[11].vin[0].sequence,fdffffff,4294967293
3420,3421,1,block.tx[11].output_count,02,2
3421,3429,8,block.tx[11].vout[0].value_satoshi,0000000000000000,0
3429,3430,1,block.tx[11].vout[0].script_pubkey_length,22,34
3430,3464,34,block.tx[11].vout[0].script_pubkey,6a209f186b79b0ac84736aeced898496d2c64e2c9508942b5321add472d39e845707,6a209f186b79b0ac84736aeced898496d2c64e2c9508942b5321add472d39e845707
3464,3472,8,block.tx[11].vout[1].value_satoshi,2202000000000000,546
3472,3473,1,block.tx[11].vout[1].script_pubkey_length,22,34
3473,3507,34,block.tx[11].vout[1].script_pubkey,51208e445293a045fa067efc72d9e873a35102a1945d0ac71b23fa2f52df60e7c522,51208e445293a045fa067efc72d9e873a35102a1945d0ac71b23fa2f52df60e7c522
3507,3508,1,block.tx[11].vin[0].witness_count,01,1
3508,3509,1,block.tx[11].vin[0].witness[0].length,40,64
3509,3573,64,block.tx[11].vin[0].witness[0].data,ff8f2efed4929de5fd456a771b8a20f9aa1066a469fb418b090cfa4fd4e168cd398b9fb4934a271f5445fac1f8b2a503cdbc26f4acd9ed6bcf4ba4019f0b1573,ff8f2efed4929de5fd456a771b8a20f9aa1066a469fb418b090cfa4fd4e168cd398b9fb4934a271f5445fac1f8b2a503cdbc26f4acd9ed6bcf4ba4019f0b1573
3573,3577,4,block.tx[11].locktime,ec350200,144876
3577,3581,4,block.tx[12].version,02000000,2
3581,3582,1,block.tx[12].marker,00,0 (SegWit marker)
3582,3583,1,block.tx[12].flag,01,1 (witness present)
3583,3584,1,block.tx[12].input_count,01,1
3584,3616,32,block.tx[12].vin[0].prev_txid_le,6120a4fd03007b5d1ae53d3f1eade984643d0357481a86e5b796caf952ab1247,6120a4fd03007b5d1ae53d3f1eade984643d0357481a86e5b796caf952ab1247
3616,3620,4,block.tx[12].vin[0].prev_vout,06000000,6
3620,3621,1,block.tx[12].vin[0].script_sig_length,00,0
3621,3621,0,block.tx[12].vin[0].script_sig,,
3621,3625,4,block.tx[12].vin[0].sequence,fdffffff,4294967293
3625,3626,1,block.tx[12].output_count,02,2
3626,3634,8,block.tx[12].vout[0].value_satoshi,0000000000000000,0
3634,3635,1,block.tx[12].vout[0].script_pubkey_length,22,34
3635,3669,34,block.tx[12].vout[0].script_pubkey,6a209059ebc7f60c0ad5aec34a11e9f8b30259adda651baa6f6e68593d942dd6a517,6a209059ebc7f60c0ad5aec34a11e9f8b30259adda651baa6f6e68593d942dd6a517
3669,3677,8,block.tx[12].vout[1].value_satoshi,2202000000000000,546
3677,3678,1,block.tx[12].vout[1].script_pubkey_length,22,34
3678,3712,34,block.tx[12].vout[1].script_pubkey,5120e96010e3f960388a808fd54436e62be06d659073fa189e88c7b385a3d7294880,5120e96010e3f960388a808fd54436e62be06d659073fa189e88c7b385a3d7294880
3712,3713,1,block.tx[12].vin[0].witness_count,01,1
3713,3714,1,block.tx[12].vin[0].witness[0].length,40,64
3714,3778,64,block.tx[12].vin[0].witness[0].data,f91fccc2744789fdb830fd9176706277d47e87c02aa24f4148412dc4472602760fcaab1893ffca9b9c7b795ef620461994099a4022b3fd8ef19fff79d34abc44,f91fccc2744789fdb830fd9176706277d47e87c02aa24f4148412dc4472602760fcaab1893ffca9b9c7b795ef620461994099a4022b3fd8ef19fff79d34abc44
3778,3782,4,block.tx[12].locktime,ec350200,144876
3782,3786,4,block.tx[13].version,02000000,2
3786,3787,1,block.tx[13].marker,00,0 (SegWit marker)
3787,3788,1,block.tx[13].flag,01,1 (witness present)
3788,3789,1,block.tx[13].input_count,05,5
3789,3821,32,block.tx[13].vin[0].prev_txid_le,7b011f879f041ea0d73badafdab1ed4221c2dd8e4e5d52aa3ded6d4e48a886d9,7b011f879f041ea0d73badafdab1ed4221c2dd8e4e5d52aa3ded6d4e48a886d9
3821,3825,4,block.tx[13].vin[0].prev_vout,01000000,1
3825,3826,1,block.tx[13].vin[0].script_sig_length,00,0
3826,3826,0,block.tx[13].vin[0].script_sig,,
3826,3830,4,block.tx[13].vin[0].sequence,ffffffff,4294967295
3830,3862,32,block.tx[13].vin[1].prev_txid_le,15b562deea6c2127fd65430d8618bd92b149226565595f49c8ea6c08792895cc,15b562deea6c2127fd65430d8618bd92b149226565595f49c8ea6c08792895cc
3862,3866,4,block.tx[13].vin[1].prev_vout,01000000,1
3866,3867,1,block.tx[13].vin[1].script_sig_length,00,0
3867,3867,0,block.tx[13].vin[1].script_sig,,
3867,3871,4,block.tx[13].vin[1].sequence,ffffffff,4294967295
3871,3903,32,block.tx[13].vin[2].prev_txid_le,9c0ada477d77b65c17670db804e2b36e3fc79af4539907ff20056ae14e051e62,9c0ada477d77b65c17670db804e2b36e3fc79af4539907ff20056ae14e051e62
3903,3907,4,block.tx[13].vin[2].prev_vout,01000000,1
3907,3908,1,block.tx[13].vin[2].script_sig_length,00,0
3908,3908,0,block.tx[13].vin[2].script_sig,,
3908,3912,4,block.tx[13].vin[2].sequence,ffffffff,4294967295
3912,3944,32,block.tx[13].vin[3].prev_txid_le,eb9671f82a21ad8471f618fb50420a0d6067153642d4c4f7d8cb6b910763689b,eb9671f82a21ad8471f618fb50420a0d6067153642d4c4f7d8cb6b910763689b
3944,3948,4,block.tx[13].vin[3].prev_vout,01000000,1
3948,3949,1,block.tx[13].vin[3].script_sig_length,00,0
3949,3949,0,block.tx[13].vin[3].script_sig,,
3949,3953,4,block.tx[13].vin[3].sequence,ffffffff,4294967295
3953,3985,32,block.tx[13].vin[4].prev_txid_le,1627eaf8e4327fbb3464ab5560a563cf047471473bcb4ec692421c9c23c0934c,1627eaf8e4327fbb3464ab5560a563cf047471473bcb4ec692421c9c23c0934c
3985,3989,4,block.tx[13].vin[4].prev_vout,01000000,1
3989,3990,1,block.tx[13].vin[4].script_sig_length,00,0
3990,3990,0,block.tx[13].vin[4].script_sig,,
3990,3994,4,block.tx[13].vin[4].sequence,ffffffff,4294967295
3994,3995,1,block.tx[13].output_count,01,1
3995,4003,8,block.tx[13].vout[0].value_satoshi,e803000000000000,1000
4003,4004,1,block.tx[13].vout[0].script_pubkey_length,16,22
4004,4026,22,block.tx[13].vout[0].script_pubkey,001473f68b137bf1eed579fd819b865ffcc26f27794b,001473f68b137bf1eed579fd819b865ffcc26f27794b
4026,4027,1,block.tx[13].vin[0].witness_count,01,1
4027,4028,1,block.tx[13].vin[0].witness[0].length,01,1
4028,4029,1,block.tx[13].vin[0].witness[0].data,51,51
4029,4030,1,block.tx[13].vin[1].witness_count,01,1
4030,4031,1,block.tx[13].vin[1].witness[0].length,01,1
4031,4032,1,block.tx[13].vin[1].witness[0].data,51,51
4032,4033,1,block.tx[13].vin[2].witness_count,01,1
4033,4034,1,block.tx[13].vin[2].witness[0].length,01,1
4034,4035,1,block.tx[13].vin[2].witness[0].data,51,51
4035,4036,1,block.tx[13].vin[3].witness_count,01,1
4036,4037,1,block.tx[13].vin[3].witness[0].length,01,1
4037,4038,1,block.tx[13].vin[3].witness[0].data,51,51
4038,4039,1,block.tx[13].vin[4].witness_count,01,1
4039,4040,1,block.tx[13].vin[4].witness[0].length,01,1
4040,4041,1,block.tx[13].vin[4].witness[0].data,51,51
4041,4045,4,block.tx[13].locktime,00000000,0
