index,txid,wtxid,segwit,size,stripped_size,weight,vsize
31,52c870a7a9d6c2550989c14a1915a78fc09330309cfbda4a958bf896ea8d0203,66f2f6bae70df8ee2a825be3022004e470262d23d9c7cbe40a7bfe945e6eeb07,True,191,123,560,140
32,3d5552cd870e11332a0d13b7ab44822fe54e1598571c92fdd9c0342d8b3ac6f5,dd90b740614a0a6a3e064a19efba8ab8fe14e5aa98e175bb987f2218f47ad233,True,191,123,560,140
33,9a7fdb01b2813f880c115680734038631fcc7c01c4ade3502dcebb0cf6719fa4,eccef1839109ba82c7d90ee0ed7bbc922b893fff2aa376c43590f3ac3843a057,True,191,123,560,140
34,87aa5a3c84eae3d0394b597efede0aa1f0320d672e997f2d00b693bf77c18b61,6a1d15874d432b6c71621b83bdf1d8cb564d93bc8f7d8dbe49f8bd384f449832,True,191,123,560,140
35,0fb0973efa0b928e7276590fc14cb8d4173c0a721c0620d148a0b1d01d15d473,e913e759582e3573a0d7f533e800a1c9c05374e47ee2909ecfb75fb7d74373f1,True,191,123,560,140
36,57b8a8072f828cad164d37c2e86544505ce43c325f4b178e01ef5b72503450bc,86fc599cf3c63aba0e28ea8ac8c62fae5f5fb02ecea5e1b7aeaee73d0c841fe5,True,191,123,560,140
37,6c371e0d23f3196ad6b994c0a2c10526f82d1ebd67d0493c8a351c06a56d8873,d9f54501fb64d6f4b606f25f7b9a3a4ce117491de7c89f41ccfe484487d8169f,True,191,123,560,140
38,ee306344c3b392f8d685b614126ce49ef46d44910df5afb1f8ad4966b1278a1a,311996a04fc7cb9d9d3e7de8df6be213bd3e4cd462ca9f48607207ca4c465749,True,191,123,560,140
39,a80a037e90d77717cc7596e5fd8903f590e91c6e1c3aff65004dd39d95fbd814,676380aef1db8ea08b968213706fa0dc1df61503dd21854070c30dbf227156cd,True,5487,5419,21744,5436
40,a2328bebc74695b63e80fc19dfd24b413118f4b9cf3abac52638b8915e856993,2f8ab0568bf8bec36c78aa597d020db14dd474722c7b440fd6d38a4405e8f752,True,1961,969,4868,1217
